Timestamp,Event,Query,Country,Result_Count,Extra_Info
2025-12-15 15:13:59,New Visit,-,-,0,-
2025-12-15 15:14:56,Search Run,"""test""",United States,20,-
2025-12-15 15:41:18,926fc3b4-a70c-4b0a-a147-ee9a9e48dd64,New Visit,-,-,0,-
2025-12-16 10:17:11,ef8cabb9-40bd-4548-8253-2c489e931f33,New Visit,-,-,0,-
2025-12-16 10:17:30,ef8cabb9-40bd-4548-8253-2c489e931f33,Search Run,"""camera"" -Ed",United States,10,-
2025-12-16 10:17:50,ef8cabb9-40bd-4548-8253-2c489e931f33,Search Run,"""camera""",United States,30,-
2025-12-16 10:17:58,ef8cabb9-40bd-4548-8253-2c489e931f33,Search Run,"""camera"" -sheeran",United States,30,-
2025-12-16 10:18:15,ef8cabb9-40bd-4548-8253-2c489e931f33,Search Run,"""shopify"" -dropshipping",United States,24,-
2025-12-16 10:18:45,ef8cabb9-40bd-4548-8253-2c489e931f33,Search Run,"""shopify"" -dropshipping",United States,30,-
2025-12-16 10:18:53,ef8cabb9-40bd-4548-8253-2c489e931f33,Search Run,"""shopify"" -dropshipping",United States,24,-
2025-12-16 10:18:55,ef8cabb9-40bd-4548-8253-2c489e931f33,Search Run,"""shopify"" -dropshipping",United States,24,-
2025-12-16 10:19:18,ef8cabb9-40bd-4548-8253-2c489e931f33,Search Run,"""shopify"" -dropshipping",United States,30,-
2025-12-16 10:19:42,ef8cabb9-40bd-4548-8253-2c489e931f33,Search Run,"""shopify"" -dropshipping",United States,15,-
2025-12-16 10:21:04,eccb3d37-6cb6-4a31-8bef-bf02a15a3d59,New Visit,-,-,0,-
2025-12-16 10:21:22,eccb3d37-6cb6-4a31-8bef-bf02a15a3d59,Search Run,"""Camera"" -Ed",United States,20,-
2025-12-16 11:02:33,124270a2-4e38-45d6-8e18-191e05ba39db,New Visit,-,-,0,-
2025-12-16 11:06:47,fc9ac906-560c-441e-9ec7-3f0c8003cb8e,New Visit,-,-,0,-
2025-12-16 11:07:11,1b419293-2c4d-4b97-a3dc-6a6830303504,New Visit,-,-,0,-
2026-01-01 14:10:46,2f5d5229-d72d-40c8-9e45-740f9e6f7440,New Visit,-,-,0,0,-
2026-01-01 14:12:11,5e26903a-387a-4ab3-81b6-f953671db5ba,New Visit,-,-,0,0,-
2026-01-01 14:14:54,5e26903a-387a-4ab3-81b6-f953671db5ba,List Analysis,-,-,0,165,-
2026-01-01 14:17:11,b6a95a6d-5b0f-4512-a7a1-dc775c8743bc,New Visit,-,-,0,0,-
2026-01-01 14:18:54,b6a95a6d-5b0f-4512-a7a1-dc775c8743bc,List Analysis,-,-,0,1,-
2026-01-01 14:20:31,b6a95a6d-5b0f-4512-a7a1-dc775c8743bc,List Analysis,-,-,4,1,-
2026-01-01 14:29:02,576bcd20-1fe4-43c6-acf0-e249839e7096,New Visit,-,-,0,0,-
2026-01-01 14:29:14,576bcd20-1fe4-43c6-acf0-e249839e7096,List Analysis,-,-,4,1,-
2026-01-01 14:29:26,576bcd20-1fe4-43c6-acf0-e249839e7096,List Analysis,-,-,4,1,-
2026-01-02 13:23:26,6157e5ad-7ceb-42ef-829a-f751a7ced2c3,New Visit,-,-,0,0,-
2026-01-02 13:23:38,aa99ea2b-1eec-46d3-b0fc-8a45ab91e9a4,New Visit,-,-,0,0,-
2026-01-02 13:23:50,aa99ea2b-1eec-46d3-b0fc-8a45ab91e9a4,List Analysis,-,-,4,2,-
2026-01-02 13:26:44,726876fd-5d48-40f2-9c7f-9e894c6f99a1,New Visit,-,-,0,0,-
2026-01-02 13:26:53,726876fd-5d48-40f2-9c7f-9e894c6f99a1,List Analysis,-,-,4,2,-
2026-01-02 13:28:26,23217be6-62d7-4fb6-8ec5-c4f4f8830923,New Visit,-,-,0,0,-
2026-01-02 13:28:31,23217be6-62d7-4fb6-8ec5-c4f4f8830923,List Analysis,-,-,6,2,-
2026-01-02 20:40:45,6e5217e1-70c4-4e3b-92b5-bd4de85f3a77,New Visit,-,-,0,0,-
2026-01-02 20:40:52,49049450-099b-4edb-bd21-f0127498df85,New Visit,-,-,0,0,-
2026-01-02 20:41:01,49049450-099b-4edb-bd21-f0127498df85,List Analysis,-,-,6,2,-
2026-01-02 21:04:17,ac8b0931-adbb-401a-bdfe-20c79083d10e,New Visit,-,-,0,0,-
2026-01-03 13:09:47,ac8b0931-adbb-401a-bdfe-20c79083d10e,Search Run,"""Moving to Arnhem""",-,0,102,-
